date,region.ce.celje,region.ce.šmarje_pri_jelšah,region.kp.piran,region.kr.jesenice,region.kr.kranj,region.kr.naklo,region.kr.žirovnica,region.lj.brezovica,region.lj.domžale,region.lj.horjul,region.lj.ljubljana,region.lj.škofljica,region.mb.maribor,region.mb.šentilj,region.ms.ljutomer,region.nm.metlika,region.nm.trebnje,region.sg.ribnica_na_pohorju,region.za.litija
2020-03-13,,,,,,,,,,,,,,,,1,,,
2020-03-14,,,,,,,,,,,,,,,,1,,,
2020-03-15,,,,,,,,,,,,,,,,1,,,
2020-03-16,,,,,,,,,,,,,,,,1,,,
2020-03-17,,,,,,,,,,,,,,,,1,,,
2020-03-18,,,,,,,,,,,,,,,,1,,,
2020-03-19,,,,,,,,,,,,,,,,1,,,
2020-03-20,,,,,,,,,,,,,,,,1,,,
2020-03-21,,,,,,,,,,,,,,,,1,,,
2020-03-22,,,,,,,,,,,,,,,,2,,,
2020-03-23,,,,,,,,,,,1,,,,,2,,,
2020-03-24,,2,,,,,,,,,1,,,,,3,,,
2020-03-25,,2,,,,,,,,,1,,,,,3,,,
2020-03-26,,2,,,,,,,,,1,,,,,5,,,
2020-03-27,,3,,,,,,,,,1,,,,,6,,,
2020-03-28,,4,,,,,1,,,,1,,,,,6,,,
2020-03-29,,5,,,1,,1,,,,1,,,,,6,,,
2020-03-30,,6,,,1,,1,,,1,3,,,,,6,,,
2020-03-31,,7,,,1,,1,,,1,3,,,,,6,,,
2020-04-01,,7,,,1,,1,,,1,3,1,,,,6,,,
2020-04-02,,9,,,1,,1,,,1,3,1,1,,,6,,,
2020-04-03,,10,,,1,,1,,,1,3,1,1,,1,7,,,
2020-04-04,,13,,,1,,1,,,1,3,1,1,,1,8,,,
2020-04-05,,13,,,1,,1,,,1,5,1,1,,1,8,,,
2020-04-06,,17,,,1,,1,,1,2,5,1,1,,1,10,,,
2020-04-07,,19,,,1,,1,,1,2,5,1,1,,1,10,,,
2020-04-08,,20,1,,1,1,1,,1,3,5,1,1,,1,11,,,
2020-04-09,,20,1,,1,1,1,,1,3,6,1,1,,1,11,,,
2020-04-10,,21,1,1,1,1,1,1,1,4,7,1,1,,2,11,,,
2020-04-11,,23,1,1,1,1,1,2,1,5,7,1,1,,2,11,,,
2020-04-12,,24,1,1,1,1,1,2,1,6,7,1,1,,3,11,,,
2020-04-13,,24,1,1,1,1,1,2,2,6,7,1,1,,5,11,,,
2020-04-14,0,25,1,1,1,1,1,2,2,6,7,1,1,,5,11,,,
2020-04-15,0,25,1,1,1,1,1,2,2,6,7,1,1,,5,11,,,
2020-04-16,0,26,1,1,1,1,1,2,2,6,7,1,1,,5,12,,,
2020-04-17,0,27,1,1,1,1,1,2,2,6,7,1,1,,7,14,,1,
2020-04-18,0,28,1,1,1,1,1,2,2,6,7,1,1,,8,14,,1,
2020-04-19,0,29,1,1,1,1,1,2,2,6,7,1,2,,10,14,,1,
2020-04-20,0,29,1,1,1,1,1,2,2,6,7,1,2,,10,14,,1,
2020-04-21,0,31,1,1,1,1,1,2,2,6,7,1,2,,10,14,,1,
