episari.date.from,episari.date.to,episari.source,episari.missing,episari.week,episari.covid.in.vacc,episari.covid.in.notvacc,episari.covid.in.vacc.age.65+,episari.sari.in,episari.tested.in,episari.covid.in,episari.covid.in.vacc.3,episari.covid.in.vacc.full,episari.covid.in.vacc.partial,episari.covid.in.vacc.none,episari.covid.in.vacc.unknown,episari.covid.in.vacc.3.age.65+,episari.covid.in.vacc.full.age.65+,episari.covid.in.notsari,episari.covid.discoveredinhospital,episari.covid.acquiredinhospital,episari.deceased,episari.covid.deceased,episari.all.out,episari.covid.out,episari.sari.icu.in,episari.tested.icu.in,episari.covid.icu.in,episari.covid.in.age.mean,episari.covid.deceased.age.mean,episari.covid.icu.in.age.mean,episari.covid.in.age.00-04,episari.covid.in.age.05-14,episari.covid.in.age.15-24,episari.covid.in.age.25-34,episari.covid.in.age.35-44,episari.covid.in.age.45-54,episari.covid.in.age.55-64,episari.covid.in.age.65-74,episari.covid.in.age.75-84,episari.covid.in.age.85+,episari.covid.icu.in.age.00-04,episari.covid.icu.in.age.05-14,episari.covid.icu.in.age.15-24,episari.covid.icu.in.age.25-34,episari.covid.icu.in.age.35-44,episari.covid.icu.in.age.45-54,episari.covid.icu.in.age.55-64,episari.covid.icu.in.age.65-74,episari.covid.icu.in.age.75-84,episari.covid.icu.in.age.85+,episari.covid.deceased.age.00-04,episari.covid.deceased.age.05-14,episari.covid.deceased.age.15-24,episari.covid.deceased.age.25-34,episari.covid.deceased.age.35-44,episari.covid.deceased.age.45-54,episari.covid.deceased.age.55-64,episari.covid.deceased.age.65-74,episari.covid.deceased.age.75-84,episari.covid.deceased.age.85+
2020-03-02,2020-03-08,,,2020-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,2020-04-05,pdf,,2020-14,,,,215,212,44,,,,,,,,1,0,0,,12,,30,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,2020-04-12,pdf,,2020-15,,,,177,176,43,,,,,,,,1,0,1,,8,,41,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,2020-04-19,pdf,,2020-16,,,,163,162,36,,,,,,,,1,0,0,,7,,36,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,2020-04-26,pdf,,2020-17,,,,158,156,19,,,,,,,,5,0,1,,5,,25,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,2020-05-03,pdf,,2020-18,,,,134,133,11,,,,,,,,0,0,0,,7,,16,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,2020-05-10,pdf,,2020-19,,,,137,133,5,,,,,,,,2,0,0,,4,,20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,2020-05-17,pdf,,2020-20,,,,101,98,6,,,,,,,,1,0,0,,2,,15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,2020-05-24,pdf,,2020-21,,,,112,101,0,,,,,,,,0,0,0,,1,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-25,2020-05-31,pdf,,2020-22,,,,124,90,2,,,,,,,,1,0,0,,2,,9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,2020-06-07,pdf,,2020-23,,,,128,94,0,,,,,,,,0,0,0,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,2020-06-14,pdf,,2020-24,,,,128,99,1,,,,,,,,0,1,1,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,2020-06-21,pdf,,2020-25,,,,134,106,3,,,,,,,,1,0,0,,0,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,2020-06-28,pdf,,2020-26,,,,150,120,3,,,,,,,,0,0,0,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,2020-07-05,pdf,,2020-27,,,,157,132,9,,,,,,,,0,0,0,,0,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,2020-07-12,pdf,,2020-28,,,,136,116,15,,,,,,,,0,0,0,,0,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13,2020-07-19,pdf,,2020-29,,,,133,116,11,,,,,,,,0,0,0,,2,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20,2020-07-26,pdf,,2020-30,,,,143,120,16,,,,,,,,0,0,0,,3,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-27,2020-08-02,pdf,,2020-31,,,,141,116,8,,,,,,,,0,0,0,,4,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03,2020-08-09,pdf,,2020-32,,,,135,121,15,,,,,,,,2,0,0,,3,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-10,2020-08-16,pdf,,2020-33,,,,152,127,9,,,,,,,,1,0,0,,1,,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-17,2020-08-23,pdf,,2020-34,,,,180,151,12,,,,,,,,0,1,0,,1,,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-24,2020-08-30,pdf,,2020-35,,,,156,133,15,,,,,,,,3,0,0,,0,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,2020-09-06,pdf,,2020-36,,,,183,147,21,,,,,,,,1,0,0,,0,,14,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,2020-09-13,pdf,,2020-37,,,,256,205,37,,,,,,,,5,0,5,,2,,19,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,2020-09-20,pdf,,2020-38,,,,283,248,46,,,,,,,,14,1,3,,5,,19,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-21,2020-09-27,pdf,,2020-39,,,,266,247,57,,,,,,,,5,3,5,,6,,35,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,2020-10-04,pdf,,2020-40,,,,300,292,70,,,,,,,,8,5,4,,5,,46,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,2020-10-11,pdf,ukclj,2020-41,,,,234,227,59,,,,,,,,30,1,11,,11,,29,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12,2020-10-18,pdf,,2020-42,,,,379,370,157,,,,,,,,63,8,24,,15,,73,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,2020-10-25,pdf,ukclj,2020-43,,,,484,456,260,,,,,,,,97,10,70,,33,,92,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,2020-11-01,pdf,,2020-44,,,,817,812,570,,,,,,,,129,17,34,,71,,235,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,2020-11-08,pdf,,2020-45,,,,800,800,655,,,,,,,,169,22,44,,117,,313,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,2020-11-15,pdf,,2020-46,,,,751,748,623,,,,,,,,122,20,129,,159,,427,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,2020-11-22,pdf,ukclj,2020-47,,,,567,561,470,,,,,,,,56,13,77,,122,,352,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-23,2021-11-29,pdf,ukclj,2020-48,,,,578,577,477,,,,,,,,55,40,107,,150,,330,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,2021-12-06,pdf,ukclj,2020-49,,,,587,574,478,,,,,,,,69,27,70,,156,,306,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,2021-12-13,pdf,ukclj,2020-50,,,,624,623,536,,,,,,,,58,16,63,,129,,322,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,2021-12-20,pdf,ukclj,2020-51,,,,540,538,415,,,,,,,,49,31,52,,95,,321,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,2021-12-27,pdf,ukclj,2020-52,,,,516,512,426,,,,,,,,72,11,54,,89,,353,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2021-01-03,pdf,ukclj,2020-53,,,,569,566,461,,,,,,,,58,8,16,,105,,307,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-10,pdf,ukclj,2021-01,,,,592,590,470,,,,,,,,56,15,52,,95,,373,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-17,pdf,ukclj,2021-02,,,,564,559,412,,,,,,,,54,27,81,,89,,329,,,64,73,80,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,2021-01-24,pdf,ukclj,2021-03,,,,563,557,386,,,,,,,,54,13,79,,94,,342,,,62,72,78,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,2021-01-31,pdf,ukclj,2021-04,,,,459,447,331,,,,,,,,26,17,40,,76,,277,,,56,71,80,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,2021-02-07,pdf,ukclj,2021-05,,,,437,429,288,,,,,,,,30,11,39,,61,,282,,,47,71,78,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,2021-02-14,pdf,ukclj,2021-06,,,,291,285,179,,,,,,,,19,17,27,,47,,250,,,34,72,80,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,2021-02-21,pdf,ukclj,2021-07,,,,279,270,152,,,,,,,,24,8,21,,36,,185,,,34,70,77,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
