date,time,sm.marker,sm.title,sm.description,sm.source
2020-03-04,,,1. primer,Prvi potrjen primer: turist na povratku iz Maroka.,https://www.gov.si/novice/2020-03-04-v-sloveniji-potrjen-prvi-primer-okuzbe-z-novim-koronavirusom/
2020-03-05,,yes,Točke,16 vstopnih točk za testiranje ,https://www.rtvslo.si/zdravje/novi-koronavirus/cetrta-in-peta-okuzba-ki-nista-povezani-s-prvimi-tremi-sesti-okuzeni-je-mlajsi-moski/516239
2020-03-06,,yes,DSO,"Prepoved obiskov v domovih starejših občanov, potrjena okužba zdravnika v ZD Metlika.",https://www.gov.si/novice/2020-03-06-popolna-prepoved-obiskov-v-domovih-za-starejse/
2020-03-06,,,Usmeritve,"Glede na usmeritve NIJZ za osebe, ki prihajajo iz območij, kjer se pojavlja novi koronavirus, in so zdravi,  niso potrebni posebni ukrepi. Te osebe so lahko normalno vključene in ne potrebujejo domače karantene.",https://www.gov.si/novice/2020-03-06-posodobljene-usmeritve-glede-koronavirusa-covid-19-ki-vsebujejo-azurirane-uradne-informacije/
2020-03-07,15:30:00,,ZD Metlika,ZD Metlika zaprt,https://www.gov.si/novice/2020-03-07-izjava-glede-aktualnega-stanja-v-zvezi-s-pojavom-koronavirusa/
2020-03-07,19:00:00,,500 ljudi,Prepoved prireditev zaprtega tipa nad 500 ljudi,https://www.gov.si/novice/2020-03-07-minister-podpisal-odredbo-o-prepovedi-zbiranja-na-prireditvah-v-javnih-prostorih-s-pojasnilom-o-visini-kazni/
2020-03-09,,,SNAV,"Prekinejo se preventivne zdravstvene storitve v Beli Krajini in NM. Vsi športni dogodki in druge prireditve, na katerih je več kot 500 udeležencev, se izvedejo brez gledalcev.",https://www.gov.si/novice/2020-03-09-svet-za-nacionalno-varnost-sprejel-ukrepe-za-zajezitev-sirjenja-koronavirusa/
2020-03-10,,,100 ljudi,Prepoved prireditev zaprtega tipa nad 100 ljudi,https://www.gov.si/novice/2020-03-10-v-veljavi-ukrepi-za-zajezitev-sirjenja-koronavirusa/
2020-03-11,18:00:00,yes,IT,"Kontrola vstopa iz Italije. OŠ Kamnik zaprta, zaprti dolenjski zdravstveni domovi. Zaprta OŠ Šmarje pri Jelšah.",https://www.gov.si/novice/2020-03-11-od-18-ure-zaceli-veljati-odredbi-o-pogojih-vstopa-v-slovenijo-iz-italije-in-izvajanju-preventivnih-zdravstvenih-dejavnosti/
2020-03-12,08:00:00,,OŠ ŠPJ,Zaprta OŠ Šmarje pri Jelšah.,https://www.24ur.com/novice/slovenija/koronavirus-2.html
2020-03-14,,yes,Vlada,"Krizni štab, strokovna skupina. Napodvedani dodatni ukrepi.",https://www.gov.si/novice/2020-03-14-predsednik-vlade-janez-jansa-eden-najpomembnejsih-ukrepov-pri-zajezitvi-sirjenja-koronavirusa-je-samoizolacija/
2020-03-16,,yes,Šole,"Šole se zaprejo, že pretekli petek po priporočilu 3/4 otrok ni bilo v šolah. Prepoved javnega prevoza, zračni promet.",https://www.gov.si/novice/2020-03-12-v-sloveniji-bo-razglasena-epidemija-vrtci-in-sole-se-zacasno-zaprejo/
2020-03-16,,,Prevoz,Prepoved javnega prevoza in napoved prepovedi zračnega prometa.,https://www.gov.si/novice/2020-03-15-vlada-sprejela-odlok-o-zacasni-prepovedi-in-omejitvah-javnega-prevoza-potnikov-v-republiki-sloveniji/
2020-03-17,,,Letala,Prepoved zračnega prometa.,https://www.gov.si/novice/2020-03-16-prepoved-zracnega-prometa/
2020-03-18,,,AUT,Avstrija zaprla manjše mejne prehode.,https://www.gov.si/novice/2020-03-18-zaprtje-mejnih-prehodov-med-slovenijo-in-avstrijo/
2020-03-18,,,HR,Slovenija zaprla manjše mejne prehode z Hrvaško.,https://www.gov.si/novice/2020-03-18-zaprtje-mejnih-prehodov-med-slovenijo-in-hrvasko/
2020-03-30,,yes,Občine,Prepoved gibanja izven občine prebivališča.,https://www.gov.si/novice/2020-03-29-od-polnoci-prepoved-gibanja-izven-obcine-stalnega-ali-zacasnega-prebivalisca/
2020-03-30,,,Razkuževanje,Obvezno razkuževanje večstanovanjskih zgradb.,https://www.gov.si/novice/2020-03-29-danes-zacel-veljati-odlok-o-obveznem-razkuzevanju-vecstanovanjskih-stavb/
