week,date,date.to,week.confirmed,week.investigated,week.healthcare,week.healthcare.male,week.healthcare.female,week.rhoccupant,week.loc.family,week.loc.work,week.loc.school,week.loc.hospital,week.loc.otherhc,week.loc.rh,week.loc.prison,week.loc.transport,week.loc.shop,week.loc.restaurant,week.loc.sport,week.loc.gathering_private,week.loc.gathering_organized,week.loc.other,week.loc.unknown,week.sent_to.quarantine,week.src.quarantine,week.src.import,week.src.import-related,week.src.local,week.src.unknown,week.from.aus,week.from.aut,week.from.aze,week.from.bel,week.from.bgr,week.from.bih,week.from.cze,week.from.mne,week.from.dnk,week.from.dom,week.from.est,week.from.fra,week.from.grc,week.from.hrv,week.from.irn,week.from.ita,week.from.kaz,week.from.xkx,week.from.hun,week.from.mkd,week.from.mlt,week.from.mar,week.from.fsm,week.from.deu,week.from.pak,week.from.pol,week.from.rou,week.from.rus,week.from.svk,week.from.srb,week.from.esp,week.from.swe,week.from.che,week.from.tur,week.from.ukr,week.from.gbr,week.from.usa,week.from.are,week.from.nld,week.from.prt,week.from.lva,week.from.alb,week.from.cub,week.from.mli
2020-10,2020-03-02,2020-03-08,20,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11,2020-03-09,2020-03-15,230,,42,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12,2020-03-16,2020-03-22,192,,44,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-13,2020-03-23,2020-03-29,315,,39,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-14,2020-03-30,2020-04-05,264,,54,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-15,2020-04-06,2020-04-12,192,,60,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-16,2020-04-13,2020-04-19,123,,35,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-17,2020-04-20,2020-04-26,67,,15,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-18,2020-04-27,2020-05-03,36,,3,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-19,2020-05-04,2020-05-10,21,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-20,2020-05-11,2020-05-17,6,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,2020-05-18,2020-05-24,3,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-22,2020-05-25,2020-05-31,4,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-23,2020-06-01,2020-06-07,12,9,2,,2,,,,,,,,,,,,,,,,,98,3,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-24,2020-06-08,2020-06-14,11,11,1,,1,,,,,,,,,,,,,,,,,47,2,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
